province,party,months_before,cpi_category,vote_share_2019,vote_share_2021,delta_vote_share,cpi_change

Newfoundland and Labrador,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,3,All-items,0.0000000000,0.0000000000,0.0000000000,6.200000

Newfoundland and Labrador,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,3,Food,0.0000000000,0.0000000000,0.0000000000,6.733333

Newfoundland and Labrador,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,6,All-items,0.0000000000,0.0000000000,0.0000000000,5.216667

Newfoundland and Labrador,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,6,Food,0.0000000000,0.0000000000,0.0000000000,5.683333

Newfoundland and Labrador,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,12,All-items,0.0000000000,0.0000000000,0.0000000000,4.308333

Newfoundland and Labrador,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,12,Food,0.0000000000,0.0000000000,0.0000000000,5.233333

Newfoundland and Labrador,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,24,All-items,0.0000000000,0.0000000000,0.0000000000,2.933333

Newfoundland and Labrador,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,24,Food,0.0000000000,0.0000000000,0.0000000000,4.979167

Prince Edward Island,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,3,All-items,0.0000000000,0.0000000000,0.0000000000,8.366667

Prince Edward Island,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,3,Food,0.0000000000,0.0000000000,0.0000000000,10.966667

Prince Edward Island,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,6,All-items,0.0000000000,0.0000000000,0.0000000000,6.933333

Prince Edward Island,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,6,Food,0.0000000000,0.0000000000,0.0000000000,10.366667

Prince Edward Island,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,12,All-items,0.0000000000,0.0000000000,0.0000000000,5.183333

Prince Edward Island,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,12,Food,0.0000000000,0.0000000000,0.0000000000,10.333333

Prince Edward Island,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,24,All-items,0.0000000000,0.0000000000,0.0000000000,3.570833

