province,year,electors,total_ballots,valid_ballots,rejected_ballots,turnout,valid_rate,rejected_rate
Alberta,2019,3023980,2093981,2082961,11020,69.2459,99.4737,0.5263
British Columbia,2019,3641258,2402554,2387429,15125,65.9814,99.3705,0.6295
Manitoba,2019,927347,595998,592239,3759,64.2691,99.3693,0.6307
New Brunswick,2019,616704,444356,439810,4546,72.0534,98.9769,1.0231
Newfoundland and Labrador,2019,420067,246889,243278,3611,58.7737,98.5374,1.4626
Northwest Territories,2019,30704,16416,16291,125,53.4653,99.2385,0.7615
Nova Scotia,2019,771411,538738,533922,4816,69.838,99.1061,0.8939
Nunavut,2019,20025,9542,9454,88,47.6504,99.0778,0.9222
Ontario,2019,10484419,6947807,6892217,55590,66.2679,99.1999,0.8001
Prince Edward Island,2019,116721,86362,85294,1068,73.9901,98.7633,1.2367
Quebec,2019,6482847,4360030,4284338,75692,67.2549,98.264,1.736
Saskatchewan,2019,807984,586536,582630,3906,72.5925,99.3341,0.6659
Yukon,2019,29591,21150,21017,133,71.4744,99.3712,0.6288
Alberta,2021,3033419,1954910,1943089,11821,64.4458,99.3953,0.6047
British Columbia,2021,3713048,2279961,2264585,15376,61.404,99.3256,0.6744
Manitoba,2021,931927,577577,573170,4407,61.9766,99.237,0.763
New Brunswick,2021,622974,400901,397801,3100,64.3528,99.2267,0.7733
Newfoundland and Labrador,2021,418226,220631,217916,2715,52.754,98.7694,1.2306
Northwest Territories,2021,30519,14250,14095,155,46.6922,98.9123,1.0877
Nova Scotia,2021,779247,492740,488907,3833,63.2328,99.2221,0.7779
Nunavut,2021,21499,7267,7189,78,33.8016,98.9267,1.0733
Ontario,2021,10492441,6505569,6454558,51011,62.0024,99.2159,0.7841
Prince Edward Island,2021,118964,85277,84462,815,71.683,99.0443,0.9557
Quebec,2021,6508575,4132267,4053241,79026,63.4896,98.0876,1.9124
Saskatchewan,2021,808175,518913,515824,3089,64.208,99.4047,0.5953
Yukon,2021,30482,19548,19406,142,64.1297,99.2736,0.7264
